"","X","Plot","Quad","UTM.x","UTM.y","AEA.x","AEA.y","GEO.x","GEO.y","Tubbs.MTBS.RDNBR.30","Tubbs.MTBS.DNBR.30","Tubbs.MTBS.DNBR6.30","Kincade.MTBS.RDNBR.30","Kincade.MTBS.DNBR.30","Kincade.MTBS.DNBR6.30","Tubbs.Tukman.CanDam.10","Tubbs.Clark.RBR.30","Tubbs.BARC.dNBR.20","Tubbs.BARC.dNDVI.5","Tubbs.BARC.dNDVI4.5","Tubbs.BARC.SBS4.5"
"225",225,"PPW1524","E5",523850.999999999,4272049,-237134.429779904,67911.2786178952,-122.726106686633,38.5966093223734,-57,-48,1,-330,-220,5,NA,183.894943237305,79,64,1,2
"226",226,"PPW1525","A1",526435,4270776,-234594.672688632,66554.7488543824,-122.696481954972,38.5850640141327,118,56,1,7,-9,0,52.5445442199707,205.599075317383,80,59,1,2
"227",227,"PPW1525","A2",526435,4270796,-234594.036959749,66574.7737449193,-122.696481196296,38.5852442515734,71,33,1,22,3,0,11.3327445983887,131.681945800781,60,39,1,1
"228",228,"PPW1525","A3",526435,4270816,-234593.401230634,66594.7986340257,-122.696480437613,38.5854244890085,110,60,1,22,3,0,11.3327445983887,185.92350769043,48,28,1,1
"229",229,"PPW1525","A4",526435,4270836,-234592.765501291,66614.8235217119,-122.696479678923,38.5856047264381,110,60,1,42,20,0,11.3327445983887,185.92350769043,47,42,1,1
"230",230,"PPW1525","A5",526435,4270856,-234592.129771718,66634.84840796,-122.696478920227,38.5857849638621,106,52,1,9,-8,0,11.3327445983887,214.726104736328,53,66,1,2
"231",231,"PPW1525","B1",526455,4270776,-234574.702042732,66554.1144886464,-122.69625232449,38.5850634184237,222,126,2,7,-9,0,52.5445442199707,213.015686035156,71,57,1,2
"232",232,"PPW1525","B2",526455,4270796,-234574.066312439,66574.1393788802,-122.69625156524,38.5852436558605,90,43,1,26,6,0,52.5445442199707,136.378173828125,69,61,1,2
"233",233,"PPW1525","B3",526455,4270816,-234573.430581914,66594.1642676881,-122.696250805983,38.5854238932919,90,43,1,26,6,0,34.4585838317871,136.378173828125,53,55,1,1
"234",234,"PPW1525","B4",526455,4270836,-234572.794851162,66614.1891550678,-122.696250046719,38.5856041307176,106,54,1,-10,-23,0,34.4585838317871,159.616577148438,54,26,1,1
"235",235,"PPW1525","B5",526455,4270856,-234572.15912018,66634.2140410161,-122.696249287449,38.5857843681378,106,52,1,9,-8,0,11.3327445983887,214.726104736328,60,54,1,2
"236",236,"PPW1525","C1",526475,4270776,-234554.731397148,66553.4801212349,-122.696022694014,38.5850628222641,222,126,2,68,36,0,52.5445442199707,213.015686035156,68,65,1,2
"237",237,"PPW1525","C2",526475,4270796,-234554.095665445,66573.505011173,-122.69602193419,38.5852430596972,90,43,1,68,36,0,66.4570236206055,136.378173828125,67,62,1,2
"238",238,"PPW1525","C3",526475,4270816,-234553.459933513,66593.5298996731,-122.696021174359,38.5854232971247,139,76,2,26,6,0,34.4585838317871,181.387496948242,61,36,1,1
"239",239,"PPW1525","C4",526475,4270836,-234552.824201351,66613.5547867515,-122.696020414522,38.5856035345466,75,32,1,22,3,0,34.4585838317871,170.382843017578,55,66,1,1
"240",240,"PPW1525","C5",526475,4270856,-234552.18846896,66633.5796723966,-122.696019654677,38.5857837719629,116,62,1,22,3,0,11.3327445983887,136.375930786133,55,49,1,2
"241",241,"PPW1525","D1",526495,4270776,-234534.760751881,66552.8457521508,-122.695793063545,38.5850622256541,398,245,2,132,78,0,66.4570236206055,194.245178222656,69,107,1,2
"242",242,"PPW1525","D2",526495,4270796,-234534.125018771,66572.8706417857,-122.695792303148,38.5852424630834,398,245,2,132,78,0,66.4570236206055,194.245178222656,68,60,1,2
"243",243,"PPW1525","D3",526495,4270816,-234533.489285429,66592.8955299873,-122.695791542743,38.585422700507,139,76,2,47,20,0,66.4570236206055,181.387496948242,64,73,1,2
"244",244,"PPW1525","D4",526495,4270836,-234532.853551858,66612.9204167621,-122.695790782331,38.5856029379251,75,32,1,22,3,0,11.3327445983887,170.382843017578,58,41,1,1
"245",245,"PPW1525","D5",526495,4270856,-234532.217818058,66632.9453021018,-122.695790021913,38.5857831753376,35,4,1,22,3,0,11.3327445983887,175.692169189453,61,59,1,1
"246",246,"PPW1525","E1",526515,4270776,-234514.790106934,66552.2113813902,-122.695563433084,38.5850616285936,398,245,2,93,50,0,66.4570236206055,194.245178222656,82,74,2,2
"247",247,"PPW1525","E2",526515,4270796,-234514.154372414,66572.2362707201,-122.695562672112,38.585241866019,478,328,3,161,99,0,66.4570236206055,165.368637084961,76,82,2,2
"248",248,"PPW1525","E3",526515,4270816,-234513.518637663,66592.2611586228,-122.695561911133,38.5854221034388,279,170,2,55,26,0,52.5445442199707,194.269836425781,67,36,1,1
"249",249,"PPW1525","E4",526515,4270836,-234512.882902683,66612.286045095,-122.695561150147,38.5856023408531,35,4,1,55,26,0,11.3327445983887,175.692169189453,59,49,1,1
"250",250,"PPW1525","E5",526515,4270856,-234512.247167474,66632.310930131,-122.695560389155,38.5857825782618,35,4,1,-8,-22,0,11.3327445983887,175.692169189453,50,45,1,1
"251",251,"PPW1532","A1",524932,4271247,-236080.498644134,67074.0029585008,-122.713721852037,38.5893520894171,152,97,2,61,36,1,9.73478317260742,132.732894897461,63,59,1,2
"252",252,"PPW1532","A2",524932,4271267,-236079.863016117,67094.0278374851,-122.713721136344,38.5895323270053,152,97,2,61,36,1,9.73478317260742,132.732894897461,50,59,1,2
"253",253,"PPW1532","A3",524932,4271287,-236079.227387889,67114.0527150226,-122.713720420645,38.5897125645878,116,71,2,34,14,1,9.73478317260742,103.691513061523,55,74,2,2
"254",254,"PPW1532","A4",524932,4271307,-236078.591759446,67134.0775911277,-122.713719704939,38.5898928021648,116,71,2,34,14,1,9.73478317260742,103.691513061523,71,68,2,2
"255",255,"PPW1532","A5",524932,4271327,-236077.956130788,67154.1024658028,-122.713718989226,38.5900730397362,81,48,1,5,-10,1,9.73478317260742,73.2735290527344,93,76,2,2
"256",256,"PPW1532","B1",524952,4271247,-236060.527941689,67073.368711933,-122.713492207541,38.5893515274791,176,121,2,61,36,1,9.73478317260742,78.0681381225586,62,65,1,2
"257",257,"PPW1532","B2",524952,4271267,-236059.89231226,67093.3935906217,-122.713491491274,38.5895317650637,110,68,1,61,36,1,9.73478317260742,77.9135131835938,59,73,2,2
"258",258,"PPW1532","B3",524952,4271287,-236059.256682616,67113.4184678728,-122.713490775,38.5897120026426,127,86,2,30,11,1,9.73478317260742,22.131763458252,63,55,1,2
"259",259,"PPW1532","B4",524952,4271307,-236058.621052758,67133.4433436939,-122.71349005872,38.589892240216,127,86,2,25,6,1,0.871021807193756,22.131763458252,86,81,2,2
"260",260,"PPW1532","B5",524952,4271327,-236057.985422685,67153.4682180756,-122.713489342434,38.5900724777838,81,49,1,27,8,1,0.871021807193756,28.9279766082764,106,85,2,2
"261",261,"PPW1532","C1",524972,4271247,-236040.557239548,67072.7344636791,-122.713262563052,38.5893509650906,120,76,2,42,21,1,9.73478317260742,61.2496871948242,77,74,2,2
"262",262,"PPW1532","C2",524972,4271267,-236039.921608703,67092.7593420786,-122.71326184621,38.5895312026715,110,68,1,30,11,1,0,77.9135131835938,83,74,2,2
"263",263,"PPW1532","C3",524972,4271287,-236039.285977643,67112.7842190508,-122.713261129363,38.5897114402469,110,68,1,30,11,1,0,77.9135131835938,90,97,2,2
"264",264,"PPW1532","C4",524972,4271307,-236038.650346373,67132.8090945771,-122.713260412508,38.5898916778166,143,99,2,25,6,1,0.871021807193756,81.3453979492188,103,93,2,2
"265",265,"PPW1532","C5",524972,4271327,-236038.014714886,67152.8339686701,-122.713259695648,38.5900719153808,160,111,2,1,-14,1,11.2461738586426,102.841033935547,98,64,1,2
"266",266,"PPW1532","D1",524992,4271247,-236020.586537709,67072.1002137484,-122.713032918568,38.5893504022514,100,64,1,42,21,1,0,33.7766456604004,81,66,2,2
"267",267,"PPW1532","D2",524992,4271267,-236019.950905451,67092.1250918605,-122.713032201153,38.5895306398287,82,49,1,42,21,1,0,34.1713371276855,92,97,2,2
"268",268,"PPW1532","D3",524992,4271287,-236019.315272977,67112.149968538,-122.713031483731,38.5897108774005,82,49,1,24,6,1,0,34.1713371276855,98,80,2,2
"269",269,"PPW1532","D4",524992,4271307,-236018.679640291,67132.1748437765,-122.713030766303,38.5898911149666,143,99,2,54,31,1,11.2461738586426,81.3453979492188,94,79,2,2
"270",270,"PPW1532","D5",524992,4271327,-236018.04400739,67152.1997175836,-122.713030048868,38.5900713525272,160,111,2,54,31,1,11.2461738586426,102.841033935547,76,65,1,2
"271",271,"PPW1532","E1",525012,4271247,-236000.615836174,67071.465962132,-122.712803274091,38.5893498389617,100,64,1,42,21,1,6.45590543746948,33.7766456604004,110,79,2,2
"272",272,"PPW1532","E2",525012,4271267,-235999.9802025,67091.4908399554,-122.712802556102,38.5895300765354,100,64,1,42,21,1,6.45590543746948,33.7766456604004,107,76,2,2
"273",273,"PPW1532","E3",525012,4271287,-235999.344568613,67111.5157163455,-122.712801838106,38.5897103141035,123,83,2,0,-15,1,6.45590543746948,68.6351547241211,104,76,1,2
"274",274,"PPW1532","E4",525012,4271307,-235998.708934513,67131.5405913009,-122.712801120104,38.5898905516661,173,118,2,25,6,1,11.2461738586426,103.866622924805,91,75,2,2
"275",275,"PPW1532","E5",525012,4271327,-235998.073300197,67151.5654648202,-122.712800402095,38.590070789223,173,118,2,25,6,1,11.2461738586426,103.866622924805,77,63,1,2
"276",276,"PPW1535","A1",525065,4271016,-235955.035075218,66838.4977533277,-122.712203026143,38.587266599795,35,6,1,-303,-212,5,3.68578910827637,107.311584472656,29,38,1,1
"277",277,"PPW1535","A2",525064.999999999,4271036,-235954.399440279,66858.5226469333,-122.712202306706,38.5874468374235,35,6,1,-303,-212,5,3.68578910827637,107.311584472656,72,55,1,2
"278",278,"PPW1535","A3",525065,4271056,-235953.763805124,66878.5475391117,-122.712201587263,38.5876270750465,103,66,1,-70,-70,1,3.68578910827637,24.1750411987305,96,58,1,2
"279",279,"PPW1535","A4",525065,4271076,-235953.128169754,66898.5724298568,-122.712200867814,38.5878073126639,109,71,2,29,10,1,9.73478317260742,78.7035446166992,104,56,2,2
"280",280,"PPW1535","A5",525065,4271096,-235952.492534168,66918.5973191699,-122.712200148358,38.5879875502757,109,71,2,29,10,1,2.54107618331909,78.7035446166992,104,81,2,2
"281",281,"PPW1535","B1",525085,4271016,-235935.06439111,66837.8634989201,-122.71197338832,38.5872660349025,35,6,1,-57,-61,1,3.68578910827637,107.311584472656,71,68,2,2
"282",282,"PPW1535","B2",525085,4271036,-235934.428754759,66857.8883922384,-122.711972668309,38.5874462725274,98,62,1,-303,-212,5,3.68578910827637,53.6747856140137,100,79,2,2
"283",283,"PPW1535","B3",525085,4271056,-235933.79311819,66877.9132841234,-122.711971948292,38.5876265101467,94,57,1,-2,-17,1,3.68578910827637,44.829719543457,105,47,1,2
"284",284,"PPW1535","B4",525085,4271076,-235933.157481409,66897.9381745765,-122.711971228269,38.5878067477605,122,81,2,-2,-17,1,3.68578910827637,40.8610954284668,109,62,2,2
"285",285,"PPW1535","B5",525085,4271096,-235932.521844413,66917.9630636023,-122.711970508239,38.5879869853687,122,81,2,11,-5,1,3.68578910827637,40.8610954284668,110,55,1,2
"286",286,"PPW1535","C1",525105,4271016,-235915.093707305,66837.2292428287,-122.711743750503,38.5872654695594,88,48,1,-4,-19,1,3.68578910827637,96.8603820800781,100,80,2,2
"287",287,"PPW1535","C2",525104.999999999,4271036,-235914.458069543,66857.2541358606,-122.711743029919,38.5874457071807,98,62,1,4,-11,1,3.68578910827637,53.6747856140137,105,82,2,2
"288",288,"PPW1535","C3",525105,4271056,-235913.822431563,66877.2790274569,-122.711742309327,38.5876259447964,94,57,1,-2,-17,1,3.68578910827637,44.829719543457,99,69,1,2
"289",289,"PPW1535","C4",525105,4271076,-235913.186793369,66897.3039176213,-122.71174158873,38.5878061824066,88,52,1,-2,-17,1,3.68578910827637,74.4716796875,97,74,2,2
"290",290,"PPW1535","C5",525105,4271096,-235912.55115496,66917.3288063523,-122.711740868126,38.5879864200111,109,71,2,17,0,1,3.68578910827637,65.9315795898438,103,76,2,2
"291",291,"PPW1535","D1",525125,4271016,-235895.123023807,66836.5949850585,-122.711514112693,38.5872649037658,78,45,1,31,12,1,3.68578910827637,52.9119987487793,100,68,2,2
"292",292,"PPW1535","D2",525124.999999999,4271036,-235894.48738463,66856.6198778022,-122.711513391534,38.5874451413835,76,43,1,24,6,1,3.68578910827637,58.2010841369629,94,64,1,2
"293",293,"PPW1535","D3",525125,4271056,-235893.85174524,66876.6447691135,-122.711512670369,38.5876253789956,88,52,1,24,6,1,3.68578910827637,74.4716796875,95,66,1,2
"294",294,"PPW1535","D4",525125,4271076,-235893.216105632,66896.6696589859,-122.711511949198,38.5878056166021,88,52,1,8,-8,1,3.68578910827637,74.4716796875,101,73,2,2
"295",295,"PPW1535","D5",525125,4271096,-235892.580465812,66916.6945474311,-122.71151122802,38.587985854203,109,71,2,17,0,1,2.54107618331909,65.9315795898438,106,82,2,2
"296",296,"PPW1535","E1",525145,4271016,-235875.152340612,66835.960725612,-122.711284474889,38.5872643375217,78,45,1,31,12,1,3.68578910827637,52.9119987487793,106,58,1,1
"297",297,"PPW1535","E2",525144.999999999,4271036,-235874.516700024,66855.9856180665,-122.711283753157,38.5874445751357,76,43,1,24,6,1,3.68578910827637,58.2010841369629,100,77,1,2
"298",298,"PPW1535","E3",525145,4271056,-235873.88105922,66876.0105090821,-122.711283031417,38.5876248127442,79,46,1,17,0,1,3.68578910827637,40.9644775390625,97,64,1,2
"299",299,"PPW1535","E4",525145,4271076,-235873.245418201,66896.03539867,-122.711282309672,38.587805050347,105,67,1,28,9,1,3.68578910827637,42.5002517700195,111,82,2,2
"300",300,"PPW1535","E5",525145,4271096,-235872.609776968,66916.0602868274,-122.71128158792,38.5879852879444,84,52,1,28,9,1,3.68578910827637,52.1088180541992,116,89,2,2
"301",301,"PPW1538","A1",524917,4269672,-236145.53162395,65497.514920284,-122.713950392263,38.5751587827845,89,55,1,114,81,2,1.72992205619812,18.5710163116455,103,70,1,2
"302",302,"PPW1538","A2",524917,4269692,-236144.896013801,65517.53991176,-122.713949677504,38.5753390208145,102,66,1,114,81,2,1.72992205619812,2.59512758255005,108,70,1,2
"303",303,"PPW1538","A3",524916.999999999,4269712,-236144.260403437,65537.5649018195,-122.713948962738,38.5755192588389,79,47,1,63,38,1,2.20032048225403,3.02748680114746,110,84,2,2
"304",304,"PPW1538","A4",524917,4269732,-236143.624792863,65557.5898904586,-122.713948247966,38.5756994968578,96,63,1,50,27,1,2.20032048225403,3.30229544639587,108,67,1,2
"305",305,"PPW1538","A5",524917,4269752,-236142.989182073,65577.6148776761,-122.713947533188,38.5758797348711,96,63,1,50,27,1,2.20032048225403,3.30229544639587,106,73,2,2
"306",306,"PPW1538","B1",524937,4269672,-236125.561032001,65496.8806975987,-122.713720792955,38.5751582214679,102,66,1,121,89,2,7.78440237045288,2.59512758255005,106,62,1,2
"307",307,"PPW1538","B2",524937,4269692,-236124.925420454,65516.9056887869,-122.713720077622,38.5753384594943,102,66,1,103,72,2,1.72992205619812,2.59512758255005,106,55,1,2
"308",308,"PPW1538","B3",524936.999999999,4269712,-236124.289808693,65536.9306785562,-122.713719362283,38.5755186975152,79,47,1,63,38,1,1.72992205619812,3.02748680114746,110,50,1,2
"309",309,"PPW1538","B4",524937,4269732,-236123.654196718,65556.9556669039,-122.713718646938,38.5756989355304,87,54,1,63,38,1,2.20032048225403,17.0842132568359,109,81,2,2
"310",310,"PPW1538","B5",524937,4269752,-236123.01858453,65576.9806538434,-122.713717931586,38.5758791735401,58,30,1,54,31,1,2.20032048225403,11.2830543518066,109,68,1,2
"311",311,"PPW1538","C1",524957,4269672,-236105.590440353,65496.2464732435,-122.713491193654,38.575157659701,74,43,1,101,71,2,7.78440237045288,-6.6241979598999,107,58,1,2
"312",312,"PPW1538","C2",524957,4269692,-236104.954827409,65516.2714641471,-122.713490477748,38.5753378977238,98,63,1,124,91,2,1.72992205619812,10.0340261459351,102,60,1,2
"313",313,"PPW1538","C3",524957,4269712,-236104.319214251,65536.2964536264,-122.713489761835,38.575518135741,87,54,1,124,91,2,1.72992205619812,17.0842132568359,106,66,1,2
"314",314,"PPW1538","C4",524957,4269732,-236103.683600877,65556.3214416876,-122.713489045916,38.5756983737527,87,54,1,63,38,1,2.20032048225403,17.0842132568359,107,87,2,2
"315",315,"PPW1538","C5",524957,4269752,-236103.047987289,65576.3464283366,-122.71348832999,38.5758786117588,58,30,1,54,31,1,2.20032048225403,11.2830543518066,107,66,1,2
"316",316,"PPW1538","D1",524977,4269672,-236085.619849009,65495.6122472216,-122.71326159436,38.5751570974837,74,43,1,101,71,2,7.78440237045288,-6.6241979598999,108,66,1,2
"317",317,"PPW1538","D2",524977,4269692,-236084.984234666,65515.6372378361,-122.713260877879,38.5753373355029,98,63,1,124,91,2,1.72992205619812,10.0340261459351,104,57,1,2
"318",318,"PPW1538","D3",524976.999999999,4269712,-236084.348620109,65535.6622270304,-122.713260161393,38.5755175735166,119,76,2,130,92,2,1.72992205619812,-20.3081817626953,107,64,1,2
"319",319,"PPW1538","D4",524977,4269732,-236083.713005337,65555.6872148099,-122.7132594449,38.5756978115246,90,56,1,99,69,2,1.72992205619812,12.4250392913818,107,70,1,2
"320",320,"PPW1538","D5",524977,4269752,-236083.077390351,65575.7122011688,-122.713258728401,38.5758780495271,76,43,1,64,39,1,2.20032048225403,6.48512744903564,107,61,1,2
"321",321,"PPW1538","E1",524997,4269672,-236065.649257967,65494.9780195323,-122.713031995071,38.5751565348161,120,76,2,135,99,2,1.72992205619812,9.7920560836792,104,63,1,2
"322",322,"PPW1538","E2",524997,4269692,-236065.013642226,65515.0030098627,-122.713031278018,38.5753367728317,119,76,2,135,99,2,1.72992205619812,-20.3081817626953,100,54,1,2
"323",323,"PPW1538","E3",524996.999999999,4269712,-236064.37802627,65535.0279987706,-122.713030560957,38.5755170108417,119,76,2,130,92,2,1.72992205619812,-20.3081817626953,104,65,1,2
"324",324,"PPW1538","E4",524997,4269732,-236063.7424101,65555.0529862572,-122.713029843891,38.5756972488461,90,56,1,99,69,2,1.72992205619812,12.4250392913818,105,53,1,2
"325",325,"PPW1538","E5",524997,4269752,-236063.106793716,65575.0779723315,-122.713029126818,38.575877486845,117,71,2,39,17,1,12.5,41.6071357727051,104,58,1,2
"326",326,"PPW1539","A1",524873,4269834,-236184.318503875,65661.1125996169,-122.714449731252,38.5766199440425,84,52,1,80,53,1,2.20032048225403,2.55454158782959,105,72,1,2
"327",327,"PPW1539","A2",524873,4269854,-236183.682895075,65681.1375802318,-122.714449017704,38.5768001820352,88,53,1,83,54,1,2.20032048225403,10.3920154571533,105,67,1,2
"328",328,"PPW1539","A3",524872.999999999,4269874,-236183.047286063,65701.1625594259,-122.714448304149,38.5769804200224,88,50,1,83,54,1,2.20032048225403,12.9660997390747,90,79,1,2
"329",329,"PPW1539","A4",524873,4269894,-236182.411676835,65721.1875371998,-122.714447590587,38.577160658004,88,50,1,83,54,1,15.4315986633301,12.9660997390747,78,39,1,1
"330",330,"PPW1539","A5",524873,4269914,-236181.776067396,65741.212513566,-122.714446877019,38.57734089598,70,30,1,73,43,1,15.4315986633301,71.7194213867188,62,16,1,1
"331",331,"PPW1539","B1",524893,4269834,-236164.347899933,65660.4783782698,-122.714220127284,38.5766193836876,86,51,1,73,47,1,2.20032048225403,20.214204788208,98,61,1,2
"332",332,"PPW1539","B2",524893,4269854,-236163.712289731,65680.5033586002,-122.714219413162,38.5767996216767,88,53,1,83,54,1,2.20032048225403,10.3920154571533,92,60,1,1
"333",333,"PPW1539","B3",524892.999999999,4269874,-236163.076679321,65700.5283375084,-122.714218699033,38.5769798596603,88,53,1,83,54,1,15.4315986633301,10.3920154571533,89,32,1,1
"334",334,"PPW1539","B4",524893,4269894,-236162.441068694,65720.5533149932,-122.714217984898,38.5771600976383,114,65,1,122,81,2,15.4315986633301,29.5476264953613,90,60,1,1
"335",335,"PPW1539","B5",524893,4269914,-236161.805457854,65740.5782910716,-122.714217270756,38.5773403356107,101,55,1,73,41,1,15.4315986633301,55.978099822998,94,67,1,2
"336",336,"PPW1539","C1",524913,4269834,-236144.377296292,65659.8441552529,-122.713990523322,38.5766188228823,94,53,1,48,24,1,2.20032048225403,21.4457702636719,92,62,1,2
"337",337,"PPW1539","C2",524913,4269854,-236143.741684691,65679.8691352955,-122.713989808626,38.5767990608679,86,47,1,48,24,1,15.4315986633301,31.5142822265625,90,37,1,1
